Skill	Pass %	Note
--------------------------------------------------
ai-detection	100.0%	0 failed
avoid-ai-formulations	100.0%	0 failed
bayesian-workflow	100.0%	0 failed
consort-checklist	100.0%	0 failed
create-sop	100.0%	0 failed
document-conversion	100.0%	0 failed
figure-pipeline	100.0%	0 failed
forest-plot	100.0%	0 failed
grade-assessment	100.0%	0 failed
literature-synthesis	100.0%	0 failed
manuscript-structure	100.0%	0 failed
meta-analysis	100.0%	0 failed
prisma-checklist	100.0%	0 failed
publication-bias	100.0%	0 failed
sensitivity-analysis	100.0%	0 failed
setup-project	100.0%	0 failed
strobe-checklist	100.0%	0 failed
swiss-cheese	100.0%	0 failed
target-trial-emulation	100.0%	0 failed
test-selection	100.0%	0 failed
validate-setup	100.0%	0 failed
